id,date,state_name,state_code,office_name,office_code,type,category,registrations
173825,01-09-2023,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,343
173833,01-01-2024,Karnataka,29,Bengaluru North Rto,KA4,Diesel,Fuel,321
174095,01-04-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,582
174104,01-08-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,597
174112,01-12-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,545
174121,01-02-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,546
174130,01-01-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,760
174137,01-07-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,614
174145,01-06-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,748
174154,01-03-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,612
174163,01-05-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,770
174172,01-11-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,605
174181,01-10-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,822
174190,01-09-2023,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,677
174199,01-01-2024,Karnataka,29,Bengaluru South Rto,KA5,Diesel,Fuel,631
174458,01-04-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,354
174466,01-08-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,402
174474,01-12-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,314
174483,01-02-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,322
174491,01-01-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,382
174498,01-07-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,419
174506,01-06-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,540
174515,01-03-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,511
174523,01-05-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,327
174532,01-11-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,379
174540,01-10-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,404
174549,01-09-2023,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,348
174558,01-01-2024,Karnataka,29,Bengaluru West Rto,KA2,Diesel,Fuel,296
176062,01-04-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,167
176070,01-08-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,127
176077,01-12-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,106
176085,01-02-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,124
176093,01-01-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,144
176099,01-07-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,110
176107,01-06-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,120
176114,01-03-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,122
176122,01-05-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,134
176130,01-11-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,92
176138,01-10-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,148
176146,01-09-2023,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,145
176152,01-01-2024,Karnataka,29,"Chandapura, Bengaluru Rto",KA59,Diesel,Fuel,77
178819,01-04-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,119
178828,01-08-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,122
178836,01-12-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,114
178844,01-02-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,131
178852,01-01-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,148
178860,01-07-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,106
178869,01-06-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,144
178878,01-03-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,136
178887,01-05-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,120
178896,01-11-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,117
178905,01-10-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,123
178914,01-09-2023,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,88
178923,01-01-2024,Karnataka,29,Devanahalli Arto,KA43,Diesel,Fuel,128
